Year;Date;Cod;Product;Sales;Qnt
2009;01/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;54.97;23
2009;02/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;114.72;48
2009;03/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;112.33;47
2009;04/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;47.8;20
2009;05/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;105.16;44
2009;06/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;86.04;36
2009;07/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;133.84;56
2009;08/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;74.09;31
2009;09/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;494.5;236
2009;10/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;50.19;21
2009;11/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;102.77;43
2009;12/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;97.99;41
2009;13/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;166.44;76
2009;14/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;137.97;63
2009;15/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;89.79;41
2009;16/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;177.39;81
2009;17/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;43.02;18
2009;18/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;125.4;55
2009;19/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;55.29;25
2009;20/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;192.72;88
2009;21/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;139.52;64
2009;22/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;61.04;28
2009;23/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;107.31;49
2009;24/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;78.84;36
2009;25/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;63.51;29
2009;26/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;85.41;39
2009;27/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;151.14;66
2009;28/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;64.12;28
2009;29/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;112.21;49
2009;30/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;141.98;62
2009;31/03/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;103.05;45
2009;01/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;219;100
2009;02/04/2009 00:00;5480;CAFE PO VAC STA CLARA CLASSIC 250G;35.04;16
